Main Category,Sub Category,Count
Financial <br> Knowledge,Financial <br> Management,39
Financial <br> Knowledge,Intermediate <br> Accounting,34
Financial <br> Knowledge,Production & Operations <br> Management,33
Financial <br> Knowledge,Monetary Finance,30
Financial <br> Knowledge,Others,160
Financial <br> Reasoning,Relevant Info <br> at Middle (EN Noise),138
Financial <br> Reasoning,Relevant Info <br> Dispersed,78
Financial <br> Reasoning,Relevant Info <br>at Middle,76
Financial <br> Reasoning,Relevant Info <br>at End,72
Financial <br> Reasoning,Others,211
Financial <br> Toxicity,False Information <br>Generation,31
Financial <br> Toxicity,Inciting Fear <br> & Anxiety,28
Financial <br> Toxicity,Political Incitement <br> / Opinion Manipulation,23
Financial <br> Toxicity,Illegal <br> Misconduct Advice,18
