id,category,sub_category,level,has_table,has_fomula,question,A,B,C,D,E,gold
1,미시경제,수요공급이론,H,N,Y,"어느 소비자의 X재에 대한 수요함수가 \(Q_{D} = \frac{0.5I}{P^{2}}\)라고 한다. 이 소비자의 X재에 대한 수요의
가격탄력성(절댓값 기준)과 소득탄력성의 합은? (단, \(I\)는 소득, \(P\)는 X재 가격이다.)",1,1.5,2,2.5,3,E
2,미시경제,소비자이론,H,N,N,"두 재화(X재와 Y재)만 존재하는 경우의 무차별곡선에 대한 다음 설명 중 옳은 것을 모두 고르면?

가) 한 재화의 한계효용은 양(+)이나, 다른 재화의 한계효용이 음(-)이면, 무차별곡선은 우상향한다.
나) 두 재화의 한계효용이 양(+)인 경우, 원점에서 더 멀리 위치한 무차별곡선은 더 높은 효용수준을 나타낸다.
다) 원점에 강볼록한 무차별곡선은 두 재화의 한계효용은 모두 체감한다는 것을 의미한다.",가),"가), 나)","가), 다)","나), 다)","가), 나), 다)",B
3,미시경제학,소비자이론,H,N,Y,"효용함수(\(U\))가 \(U = \max\{ 4\sqrt{2X},\,\, X + 2Y\}\)인 소비자를
고려하자. \(X = 8\), \(Y = 2\)에서 X재의 한계효용과 Y재의 한계효용을
각각 구하면?","X재 한계효용 1/2, Y재 한계효용 0","X재 한계효용 1, Y재 한계효용 0","X재 한계효용 2, Y재 한계효용 0","X재 한계효용 1, Y재 한계효용 2","X재 한계효용 1/2, Y재 한계효용 2",B
4,미시경제학,소비자선택,H,N,Y,"효용함수가 \(U = 4X^{1/4}Y^{3/4}\)인 어느 소비자의 소득은 160이다.
X재와 Y재의 단위당 가격이 각각 2와 6이라고 한다. 균형에서 이 소비자의
소득 1단위당 한계효용은?",01월 03일,01월 02일,1,2,3,B
5,미시경제학,수요공급이론,H,N,N,"어느 완전경쟁시장에서 거래되는 재화에 정부가 단위당 10의 세금을 부과하자 소비자가격이 단위당 6만큼 상승하고, 거래량은 160단위에서 140단위로 감소하였다. 세금부과로 인한 생산자잉여 감소분은? (단, 수요함수와 공급함수는 직선이다.)",480,520,560,600,640,D
6,미시경제학,현시선호이론,H,N,Y,"어느 소비자의 기간별 선택에 대해 다음 식이 성립한다고 한다. (단, \(P_{t},\,\, Q_{t}\)는 각각 \(t\)기에 주어진 가격 벡터와 이 소비자가 선택한 상품묶음을 나타낸다.)
\(P_{0}Q_{0} \geq P_{0}Q_{1}\)
\(P_{1}Q_{1} \geq P_{1}Q_{2}\)
\(P_{0}Q_{0}\langle P_{0}Q_{2}\)
현시선호이론에 근거해 다음 설명 중 옳은 것을 모두 고르면?
가) \(Q_{0}\)이 \(Q_{1}\)보다 선호되는 것이 직접적으로 현시되었다.
나) \(Q_{0}\)이 \(Q_{2}\)보다 선호되는 것이 직접적으로 현시되었다.
다) \(Q_{1}\)이 \(Q_{2}\)보다 선호되는 것이 직접적으로 현시되었다.",가),"가), 나)","가), 다)","나), 다)","가), 나), 다)",C
7,미시경제학,소비자이론,H,N,N,"효용함수(\(U\))가 \(U = \min\{ X,\, 2Y\}\)이며, 소득이 2,500인 어느
소비자를 고려하자. 초기 X재와 Y재의 가격이 각각 10, 20이었으나, 정부가
X재에 세금을 부과하여 X재 가격이 15로 상승하였다. X재에 대한 세금부과로
인해 발생한 이 소비자의 후생 변화를 대등변화(equivalent variation)로
측정하면?",220 감소,280 감소,340 감소,400 감소,500 감소,E
8,미시경제학,기대효용이론,H,N,Y,"자산(\(W\))에 대한 폰 노이만-모겐스턴(von Neumann -Morgenstern)
효용함수가 \(U(W) = 5\sqrt{2W + 400}\)인 어느 개인을 고려하자. 이 사람의
자산은 증권만으로 구성되어 있으며, 증권 가격은 1/3의 확률로 1,600, 2/3의
확률로 250이 된다. 이 사람의 증권에 대한 확실성등가(certainty
equivalence)는?",480,600,700,850,950,B
9,미시경제학,소비자이론,H,N,N,"보통수요곡선(함수)과 보상수요곡선(함수)에 대한 다음 설명 중 옳은 것을 모두 고르면?

가) 소비자의 지출 극소화 문제에서 도출된 수요함수는 보상수요함수에 해당한다.
나) 보상수요곡선은 언제나 우하향한다.
다) 수요의 소득탄력성이 1이면 보상수요곡선과 보통수요곡선은 일치한다.",가),나),다),"가), 나)","나), 다)",D
10,미시경제학,생산자이론,H,N,Y,"어느 기업의 생산함수가 \(Q = {AL}^{0.4}K^{0.8}\)라고 하자. 다음 설명
중 옳은 것을 모두 고르면? (단, \(A\)는 양(+)의 상수, \(Q\)는 생산량,
\(L\)과 \(K\)는 각각 노동 및 자본투입량이다.)
가) 규모에 대한 수익이 체증한다.
나) 노동과 자본의 한계생산물은 체감한다.
다) 생산요소 사이의 대체탄력성은 1보다 크다.
라) 노동투입량과 자본투입량이 두 배로 증가하면 한계기술대체율은 감소한다.","가), 나)","가), 다)","나), 다)","나), 라)","다), 라)",A
