id,category,level,has_table,has_fomula,question,A,B,C,D,E,gold
1,디지털 금융,H,N,N,블록체인에서 거래 기록의 불변성을 보장하기 위해 각 블록이 이전블록과 연결되는 방식으로 가장 적절한 것을 고르면?,머클트리,데이터샤딩,해시 포인터 구조,해시 체인,영지식 증명,D
2,디지털 자산,H,N,N,오픈 뱅킹(Open Banking)의 핵심 개념에 대한 설명으로 가장 적절한 것을 고르면?,API를 통해 제3자가 은행 데이터를 활용할 수 있도록 한 개방형 금융 인프라,블록체인을 이용한 중앙화된 금융전산망,가상자산 자동 생성 서비스,암호화된 통신망 기반 전송 시스템,모든 은행 데이터를 국가가 통합 관리,A
3,디지털 금융,H,N,N,비트코인에서 사용되고 있는 공개키 암호시스템으로 가장 적절한 것을 고르면?,ECC-secp256k1,RSA-2048,Ed25519,NIST P-256,Curve448,A
4,탈 중앙금융,H,N,N,리스크 관리 자동화를 가능하게 하는 디지털 금융기술로 가장 적절한 것을 고르면?,DEX,OCR,RPA,RNN,NFC,C
5,디지털 금융,H,N,N,디지털 금융 서비스의 보안을 위해 사용되는 ‘이중 인증(2FA)’ 방식의 대표적 형태는 무엇인가?,MAC 주소 + 암호화,생체인식 + 비밀번호,블록체인 해시 + IP 확인,NFC + 클라우드 저장,IP 기반 자동로그인,B
6,탈 중앙금융,H,N,N,다음 중 ‘디지털 커스터디(Digital Custody)’ 서비스 도입 목적에 대한 설명으로 가장 적절한 것을 고르면?,디지털 자산을 안전하게 보관·관리하는 서비스,코인 발행 절차를 자동화하는 시스템,지갑 주소를 무작위로 생성하는 도구,스마트계약을 검증하는 프로토콜,블록체인 노드를 생성,A
7,디지털 자산,H,N,N,다음 중 “클라우드 네이티브 뱅킹(Cloud-Native Banking)”의 특징으로 가장 적절한 것을 고르면?,중앙 메인프레임 의존도 강화,수동식 데이터 백업,하드웨어 보안 모듈 중심 아키텍처,폐쇄형 데이터센터 운영,확장성과 유연성을 갖춘 클라우드 기반 시스템,E
8,탈 중앙금융,H,N,N,다음 중 비트코인에서 사용되는 서명 알고리즘은 무엇인가?,Gaspe,Ed25519,RPCA,ECDSA,RSA,D
9,탈 중앙금융,H,N,N,중앙은행 디지털화폐(CBDC) 설계에서 계정기반(Account-based) 방식과 토큰기반(Token-based) 방식 접근의 가장 핵심적인 차이점은 무엇인가?,발행의 주체,거래 속도,결제 네트워크 구조,물리적 저장장치,사용자 인증방식,E
10,디지털 자산,H,N,N,디지털 금융규제에서 KYC와 AML의 관계를 가장 적절하게 설명한 것을 고르면?,"AML은 기술적, KYC는 제도적 개념이다.",KYC은 AML의 디지털자산 평가기준이다.,KYC는 AML의 하위 개념이다.,AML는 KYC의 내부감사 절차이다.,두 용어는 동일한 개념이다.,C
